Year,Year_Rank,Film,Global_Box_Office,Domestic_Box_Office,Percent_Domestic,Siskel,Ebert,2023_Global_Box_Office,2023_Domestic_Box_Office
1989,1,Batman,"$251,188,924","$251,188,924",100%,1,0,"$620,436,642","$620,436,642"
1989,2,Indiana Jones and the Last Crusade,"$197,171,806","$197,171,806",100%,0,1,"$487,014,361","$487,014,361"
1989,3,Dead Poets Society,"$174,997,852","$95,860,116",54.80%,1,0,"$432,244,694","$236,774,487"
1989,4,Lethal Weapon 2,"$147,253,986","$147,253,986",100%,0,1,"$363,717,345","$363,717,345"
1989,5,Look Who's Talking,"$140,088,813","$140,088,813",100%,1,1,"$346,019,368","$346,019,368"
1989,6,"Honey, I Shrunk the Kids","$130,724,172","$130,724,172",100%,0,0,"$322,888,705","$322,888,705"
1989,7,Back to the Future Part II,"$118,549,330","$118,450,002",99.90%,0,1,"$292,816,845","$292,571,505"
1989,8,Ghostbusters II,"$112,494,738","$112,494,738",100%,0,0,"$277,862,003","$277,862,003"
1989,9,Driving Miss Daisy,"$106,593,296","$106,593,296",100%,1,1,"$263,285,441","$263,285,441"
1989,10,Parenthood,"$100,047,830","$100,047,830",100%,1,1,"$247,118,140","$247,118,140"
1989,11,When Harry Met Sally...,"$92,823,546","$92,823,546",100%,1,1,"$229,274,159","$229,274,159"
1989,12,The War of the Roses,"$86,888,546","$86,888,546",100%,1,1,"$214,614,709","$214,614,709"
1989,13,The Little Mermaid,"$84,355,863","$84,355,863",100%,1,1,"$208,358,982","$208,358,982"
1989,14,Steel Magnolias,"$83,759,091","$83,759,091",100%,0,1,"$206,884,955","$206,884,955"
1989,15,National Lampoon's Christmas Vacation,"$71,319,526","$71,319,526",100%,0,0,"$176,159,229","$176,159,229"
1989,16,Turner & Hooch,"$71,079,915","$71,079,915",100%,,,"$175,567,390","$175,567,390"
1989,17,Born on the Fourth of July,"$70,001,698","$70,001,698",100%,1,1,"$172,904,194","$172,904,194"
1989,18,Uncle Buck,"$66,758,538","$66,758,538",100%,0,0,"$164,893,589","$164,893,589"
1989,19,Field of Dreams,"$64,431,625","$64,431,625",100%,0,1,"$159,146,114","$159,146,114"
1989,20,Tango & Cash,"$63,408,614","$63,408,614",100%,0,0,"$156,619,277","$156,619,277"
1989,21,Harlem Nights,"$60,864,870","$60,864,870",100%,0,0,"$150,336,229","$150,336,229"
1989,22,Sea of Love,"$58,571,513","$58,571,513",100%,1,1,"$144,671,637","$144,671,637"
1989,23,Pet Sematary,"$57,469,467","$57,469,467",100%,0,,"$141,949,583","$141,949,583"
1989,24,The Abyss,"$54,222,310","$54,222,310",100%,1,1,"$133,929,106","$133,929,106"
1989,25,Star Trek V: The Final Frontier,"$52,210,049","$52,210,049",100%,0,0,"$128,958,821","$128,958,821"
1989,26,Major League,"$49,797,148","$49,797,148",100%,,,"$122,998,956","$122,998,956"
1989,27,"See No Evil, Hear No Evil","$46,908,987","$46,908,987",100%,0,0,"$115,865,198","$115,865,198"
1989,28,Black Rain,"$46,212,055","$46,212,055",100%,0,0,"$114,143,776","$114,143,776"
1989,29,Always,"$43,858,790","$43,858,790",100%,0,0,"$108,331,211","$108,331,211"
1989,30,K-9,"$43,247,647","$43,247,647",100%,0,0,"$106,821,688","$106,821,688"
1989,31,Three Fugitives,"$40,586,886","$40,586,886",100%,0,0,"$100,249,608","$100,249,608"
1989,32,Bill & Ted's Excellent Adventure,"$40,485,039","$40,485,039",100%,,,"$99,998,046","$99,998,046"
1989,33,The Karate Kid Part III,"$38,956,288","$38,956,288",100%,0,0,"$96,222,031","$96,222,031"
1989,34,The 'Burbs,"$36,601,993","$36,601,993",100%,0,0,"$90,406,923","$90,406,923"
1989,35,Fletch Lives,"$35,150,960","$35,150,960",100%,0,0,"$86,822,871","$86,822,871"
1989,36,Licence to Kill,"$34,667,015","$34,667,015",100%,0,1,"$85,627,527","$85,627,527"
1989,37,Lean on Me,"$31,906,454","$31,906,454",100%,0,0,"$78,808,941","$78,808,941"
1989,38,The Bear,"$31,753,898","$31,753,898",100%,1,1,"$78,432,128","$78,432,128"
1989,39,Weekend at Bernie's,"$30,218,387","$30,218,387",100%,0,0,"$74,639,416","$74,639,416"
1989,40,Road House,"$30,050,028","$30,050,028",100%,0,0,"$74,223,569","$74,223,569"
1989,41,Peter Pan 1989 Re-release,"$29,445,131","$29,445,131",100%,1,1,"$72,729,474","$72,729,474"
1989,42,The Dream Team,"$28,907,090","$28,890,240",99.90%,0,0,"$71,400,512","$71,358,893"
1989,43,Do the Right Thing,"$27,545,445","$27,545,445",100%,1,1,"$68,037,249","$68,037,249"
1989,44,All Dogs Go to Heaven,"$27,100,027","$27,100,027",100%,0,1,"$66,937,067","$66,937,067"
1989,45,Glory,"$26,828,365","$26,828,365",100%,1,1,"$66,266,062","$66,266,062"
1989,46,"Sex, Lies, and Videotape","$24,742,089","$24,741,667",100%,1,1,"$61,112,960","$61,111,917"
1989,47,A Nightmare on Elm Street: The Dream Child,"$22,168,359","$22,168,359",100%,,,"$54,755,847","$54,755,847"
1989,48,Dad,"$22,103,037","$22,103,037",100%,0,0,"$54,594,501","$54,594,501"
1989,49,Lock Up,"$22,099,847","$22,099,847",100%,,,"$54,586,622","$54,586,622"
1989,50,Cousins,"$22,026,369","$22,026,369",100%,0,1,"$54,405,131","$54,405,131"
1990,1,Home Alone,"$285,761,244","$285,761,243",100%,0,0,"$671,538,923","$671,538,921"
1990,2,Ghost,"$217,631,306","$217,631,306",100%,1,0,"$511,433,569","$511,433,569"
1990,3,Dances with Wolves,"$184,208,848","$184,208,848",100%,1,1,"$432,890,793","$432,890,793"
1990,4,Pretty Woman,"$178,406,268","$178,406,268",100%,1,1,"$419,254,730","$419,254,730"
1990,5,Teenage Mutant Ninja Turtles,"$135,265,915","$135,265,915",100%,0,0,"$317,874,900","$317,874,900"
1990,6,The Hunt for Red October,"$122,012,643","$122,012,643",100%,1,1,"$286,729,711","$286,729,711"
1990,7,Total Recall,"$119,394,840","$119,394,840",100%,0,1,"$280,577,874","$280,577,874"
1990,8,Die Hard 2,"$117,540,947","$117,540,947",100%,1,1,"$276,221,225","$276,221,225"
1990,9,Dick Tracy,"$103,738,726","$103,738,726",100%,1,1,"$243,786,006","$243,786,006"
1990,10,Kindergarten Cop,"$91,457,688","$91,457,688",100%,0,1,"$214,925,567","$214,925,567"
1990,11,Back to the Future Part III,"$87,727,583","$87,727,583",100%,1,0,"$206,159,820","$206,159,820"
1990,12,Days of Thunder,"$87,163,545","$82,670,733",94.80%,1,1,"$204,834,331","$194,276,223"
1990,13,Presumed Innocent,"$86,303,188","$86,303,188",100%,1,1,"$202,812,492","$202,812,492"
1990,14,Another 48 Hrs.,"$80,818,974","$80,818,974",100%,0,0,"$189,924,589","$189,924,589"
1990,15,Three Men and a Little Lady,"$71,609,321","$71,609,321",100%,0,0,"$168,281,904","$168,281,904"
1990,16,Bird on a Wire,"$70,978,012","$70,978,012",100%,0,0,"$166,798,328","$166,798,328"
1990,17,The Godfather Part III,"$66,666,062","$66,666,062",100%,1,1,"$156,665,246","$156,665,246"
1990,18,Flatliners,"$61,489,265","$61,489,265",100%,0,1,"$144,499,773","$144,499,773"
1990,19,Misery,"$61,276,872","$61,276,872",100%,1,1,"$144,000,649","$144,000,649"
1990,20,Edward Scissorhands,"$56,362,352","$56,362,352",100%,0,0,"$132,451,527","$132,451,527"
1990,21,Problem Child,"$53,470,891","$53,470,891",100%,,,"$125,656,594","$125,656,594"
1990,22,Arachnophobia,"$53,208,180","$53,208,180",100%,1,1,"$125,039,223","$125,039,223"
1990,23,Awakenings,"$52,096,475","$52,096,475",100%,1,1,"$122,426,716","$122,426,716"
1990,24,Look Who's Talking Too,"$47,789,074","$47,789,074",100%,,,"$112,304,324","$112,304,324"
1990,25,Hard to Kill,"$47,410,827","$47,410,827",100%,0,0,"$111,415,443","$111,415,443"
1990,26,Goodfellas,"$46,836,214","$46,836,214",100%,1,1,"$110,065,103","$110,065,103"
1990,27,Marked for Death,"$46,044,396","$46,044,396",100%,,,"$108,204,331","$108,204,331"
1990,28,RoboCop 2,"$45,681,173","$45,681,173",100%,0,0,"$107,350,757","$107,350,757"
1990,29,The Jungle Book 1990 Re-release,"$44,645,619","$44,645,619",100%,1,1,"$104,917,205","$104,917,205"
1990,30,Young Guns II,"$44,143,410","$44,143,410",100%,0,0,"$103,737,014","$103,737,014"
1990,31,Gremlins 2: The New Batch,"$41,482,207","$41,482,207",100%,0,0,"$97,483,186","$97,483,186"
1990,32,Rocky V,"$40,946,358","$40,946,358",100%,1,0,"$96,223,941","$96,223,941"
1990,33,Joe Versus the Volcano,"$39,404,261","$39,404,261",100%,0,1,"$92,600,013","$92,600,013"
1990,34,Postcards from the Edge,"$39,071,603","$39,071,603",100%,1,1,"$91,818,267","$91,818,267"
1990,35,Mermaids,"$35,419,397","$35,419,397",100%,0,1,"$83,235,583","$83,235,583"
1990,36,Darkman,"$33,878,502","$33,878,502",100%,1,1,"$79,614,480","$79,614,480"
1990,37,Air America,"$31,053,601","$31,053,601",100%,,,"$72,975,962","$72,975,962"
1990,38,Predator 2,"$30,669,413","$30,669,413",100%,0,0,"$72,073,121","$72,073,121"
1990,39,Green Card,"$29,888,235","$29,888,235",100%,0,1,"$70,237,352","$70,237,352"
1990,40,Pacific Heights,"$29,381,956","$29,381,956",100%,0,0,"$69,047,597","$69,047,597"
1990,41,Child's Play 2,"$28,501,605","$28,501,605",100%,0,0,"$66,978,772","$66,978,772"
1990,42,The Rescuers Down Under,"$27,931,461","$27,931,461",100%,1,1,"$65,638,933","$65,638,933"
1990,43,Internal Affairs,"$27,734,391","$27,734,391",100%,1,1,"$65,175,819","$65,175,819"
1990,44,Cadillac Man,"$27,627,310","$27,627,310",100%,0,0,"$64,924,179","$64,924,179"
1990,45,Memphis Belle,"$27,441,977","$27,441,977",100%,0,1,"$64,488,646","$64,488,646"
1990,46,House Party,"$26,385,627","$26,385,627",100%,0,1,"$62,006,223","$62,006,223"
1990,47,Jacob's Ladder,"$26,118,851","$26,118,851",100%,1,1,"$61,379,300","$61,379,300"
1990,48,The Exorcist III,"$26,098,824","$26,098,824",100%,x,x,"$61,332,236","$61,332,236"
1990,49,Fantasia 1990 Re-release,"$25,363,371","$25,363,371",100%,x,x,"$59,603,922","$59,603,922"
1990,50,Navy Seals,"$25,069,101","$25,069,101",100%,0,0,"$58,912,387","$58,912,387"
1991,1,Beauty and the Beast,"$248,802,521","$145,863,363",58.60%,1,1,"$552,341,597","$323,816,666"
1991,2,Terminator 2: Judgment Day,"$204,843,345","$204,843,345",100%,1,1,"$454,752,226","$454,752,226"
1991,3,Robin Hood: Prince of Thieves,"$165,493,908","$165,493,908",100%,0,0,"$367,396,476","$367,396,476"
1991,4,The Silence of the Lambs,"$130,742,922","$130,742,922",100%,0,1,"$290,249,287","$290,249,287"
1991,5,City Slickers,"$124,033,791","$124,033,791",100%,1,1,"$275,355,016","$275,355,016"
1991,6,Hook,"$119,654,823","$119,654,823",100%,0,0,"$265,633,707","$265,633,707"
1991,7,The Addams Family,"$113,502,426","$113,502,426",100%,0,0,"$251,975,386","$251,975,386"
1991,8,Sleeping with the Enemy,"$101,599,005","$101,599,005",100%,0,0,"$225,549,791","$225,549,791"
1991,9,Father of the Bride,"$89,325,780","$89,325,780",100%,x,x,"$198,303,232","$198,303,232"
1991,10,The Naked Gun 2½: The Smell of Fear,"$86,930,411","$86,930,411",100%,1,1,"$192,985,512","$192,985,512"
1991,11,Fried Green Tomatoes,"$82,418,501","$82,418,501",100%,x,x,"$182,969,072","$182,969,072"
1991,12,Cape Fear,"$79,091,969","$79,091,969",100%,1,1,"$175,584,171","$175,584,171"
1991,13,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"$78,656,813","$78,656,813",100%,0,0,"$174,618,125","$174,618,125"
1991,14,Backdraft,"$77,868,585","$77,868,585",100%,1,1,"$172,868,259","$172,868,259"
1991,15,Star Trek VI: The Undiscovered Country,"$74,888,996","$74,888,996",100%,1,1,"$166,253,571","$166,253,571"
1991,16,The Prince of Tides,"$74,787,599","$74,787,599",100%,x,x,"$166,028,470","$166,028,470"
1991,17,JFK,"$70,405,498","$70,405,498",100%,x,x,"$156,300,206","$156,300,206"
1991,18,Hot Shots!,"$69,467,617","$69,467,617",100%,1,0,"$154,218,110","$154,218,110"
1991,19,What About Bob?,"$63,707,829","$63,707,829",100%,0,1,"$141,431,380","$141,431,380"
1991,20,One Hundred and One Dalmatians 1991 Re-release,"$60,830,285","$60,830,285",100%,1,1,"$135,043,233","$135,043,233"
1991,21,The Last Boy Scout,"$59,509,925","$59,509,925",100%,0,1,"$132,112,034","$132,112,034"
1991,22,My Girl,"$59,489,799","$59,489,799",100%,1,1,"$132,067,354","$132,067,354"
1991,23,Boyz n the Hood,"$57,504,069","$57,504,069",100%,1,1,"$127,659,033","$127,659,033"
1991,24,Doc Hollywood,"$54,830,779","$54,830,779",100%,1,1,"$121,724,329","$121,724,329"
1991,25,Bugsy,"$49,114,016","$49,114,016",100%,1,1,"$109,033,116","$109,033,116"
1991,26,New Jack City,"$47,624,353","$47,624,353",100%,0,1,"$105,726,064","$105,726,064"
1991,27,The Rocketeer,"$46,704,056","$46,704,056",100%,1,1,"$103,683,004","$103,683,004"
1991,28,Thelma & Louise,"$45,454,078","$45,360,915",99.80%,0,1,"$100,908,053","$100,701,231"
1991,29,Point Break,"$43,218,387","$43,218,387",100%,0,1,"$95,944,819","$95,944,819"
1991,30,Regarding Henry,"$43,001,500","$43,001,500",100%,0,0,"$95,463,330","$95,463,330"
1991,31,The Fisher King,"$41,895,491","$41,895,491",100%,0,0,"$93,007,990","$93,007,990"
1991,32,Out for Justice,"$39,673,161","$39,673,161",100%,1,0,"$88,074,417","$88,074,417"
1991,33,The Doctor,"$38,120,905","$38,120,905",100%,1,1,"$84,628,409","$84,628,409"
1991,34,Bill & Ted's Bogus Journey,"$38,037,513","$38,037,513",100%,0,1,"$84,443,279","$84,443,279"
1991,35,Dead Again,"$38,016,380","$38,016,380",100%,x,x,"$84,396,364","$84,396,364"
1991,36,Soapdish,"$36,489,888","$36,489,888",100%,1,1,"$81,007,551","$81,007,551"
1991,37,Freddy's Dead: The Final Nightmare,"$34,872,033","$34,872,033",100%,x,x,"$77,415,913","$77,415,913"
1991,38,White Fang,"$34,793,160","$34,793,160",100%,1,1,"$77,240,815","$77,240,815"
1991,39,The Doors,"$34,494,884","$34,416,893",99.80%,1,0,"$76,578,642","$76,405,502"
1991,40,King Ralph,"$34,002,045","$34,002,045",100%,0,0,"$75,484,540","$75,484,540"
1991,41,Curly Sue,"$33,691,313","$33,691,313",100%,0,1,"$74,794,715","$74,794,715"
1991,42,Dying Young,"$33,669,178","$33,669,178",100%,0,0,"$74,745,575","$74,745,575"
1991,43,Grand Canyon,"$33,243,020","$33,243,020",100%,x,x,"$73,799,504","$73,799,504"
1991,44,Jungle Fever,"$32,482,682","$32,482,682",100%,1,1,"$72,111,554","$72,111,554"
1991,45,Double Impact,"$30,102,717","$30,102,717",100%,x,x,"$66,828,032","$66,828,032"
1991,46,L.A. Story,"$28,862,081","$28,862,081",100%,0,1,"$64,073,820","$64,073,820"
1991,47,Deceived,"$28,738,096","$28,738,096",100%,1,0,"$63,798,573","$63,798,573"
1991,48,Necessary Roughness,"$26,255,594","$26,255,594",100%,0,1,"$58,287,419","$58,287,419"
1991,49,The Hard Way,"$25,895,485","$25,895,485",100%,0,1,"$57,487,977","$57,487,977"
1991,50,Other People's Money,"$25,682,090","$25,682,090",100%,1,1,"$57,014,240","$57,014,240"
1992,1,Aladdin,"$346,476,295","$217,350,219",62.70%,1,1,"$751,853,560","$471,649,975"
1992,2,Home Alone 2: Lost in New York,"$173,585,516","$173,585,516",100%,0,0,"$376,680,570","$376,680,570"
1992,3,Batman Returns,"$162,831,698","$162,831,698",100%,1,0,"$353,344,785","$353,344,785"
1992,4,Lethal Weapon 3,"$144,731,527","$144,731,527",100%,0,1,"$314,067,414","$314,067,414"
1992,5,A Few Good Men,"$141,340,178","$141,340,178",100%,1,0,"$306,708,186","$306,708,186"
1992,6,Sister Act,"$139,605,150","$139,605,150",100%,0,0,"$302,943,176","$302,943,176"
1992,7,The Bodyguard,"$121,945,720","$121,945,720",100%,1,1,"$264,622,212","$264,622,212"
1992,8,Wayne's World,"$121,697,323","$121,697,323",100%,1,1,"$264,083,191","$264,083,191"
1992,9,Basic Instinct,"$117,727,224","$117,727,224",100%,x,x,"$255,468,076","$255,468,076"
1992,10,A League of Their Own,"$107,533,928","$107,533,928",100%,1,1,"$233,348,624","$233,348,624"
1992,11,Unforgiven,"$101,157,447","$101,157,447",100%,0,1,"$219,511,660","$219,511,660"
1992,12,The Hand That Rocks the Cradle,"$88,036,683","$88,036,683",100%,0,1,"$191,039,602","$191,039,602"
1992,13,Under Siege,"$83,563,139","$83,563,139",100%,1,1,"$181,332,012","$181,332,012"
1992,14,Patriot Games,"$83,351,587","$83,351,587",100%,1,0,"$180,872,944","$180,872,944"
1992,15,Bram Stoker's Dracula,"$82,522,790","$82,522,790",100%,0,1,"$179,074,454","$179,074,454"
1992,16,White Men Can't Jump,"$76,253,806","$76,253,806",100%,x,x,"$165,470,759","$165,470,759"
1992,17,The Last of the Mohicans,"$75,505,856","$75,505,856",100%,1,1,"$163,847,708","$163,847,708"
1992,18,Boomerang,"$70,052,444","$70,052,444",100%,0,1,"$152,013,803","$152,013,803"
1992,19,Scent of a Woman,"$63,095,253","$63,095,253",100%,1,1,"$136,916,699","$136,916,699"
1992,20,The Crying Game,"$62,548,947","$62,548,947",100%,1,1,"$135,731,215","$135,731,215"
1992,21,Far and Away,"$58,883,840","$58,883,840",100%,1,0,"$127,777,933","$127,777,933"
1992,22,"Honey, I Blew Up the Kid","$58,662,452","$58,662,452",100%,0,0,"$127,297,521","$127,297,521"
1992,23,HouseSitter,"$58,500,635","$58,500,635",100%,0,1,"$126,946,378","$126,946,378"
1992,24,Death Becomes Her,"$58,422,650","$58,422,650",100%,0,0,"$126,777,151","$126,777,151"
1992,25,Unlawful Entry,"$57,138,719","$57,138,719",100%,0,1,"$123,991,020","$123,991,020"
1992,26,Beethoven,"$57,114,049","$57,114,049",100%,1,0,"$123,937,486","$123,937,486"
1992,27,Forever Young,"$55,956,187","$55,956,187",100%,0,0,"$121,424,926","$121,424,926"
1992,28,Alien³,"$55,473,545","$55,473,545",100%,0,0,"$120,377,593","$120,377,593"
1992,29,My Cousin Vinny,"$52,929,168","$52,929,168",100%,x,x,"$114,856,295","$114,856,295"
1992,30,Sneakers,"$51,432,691","$51,432,691",100%,1,0,"$111,608,939","$111,608,939"
1992,31,The Mighty Ducks,"$50,752,337","$50,752,337",100%,0,0,"$110,132,571","$110,132,571"
1992,32,Wayne's World 2,"$48,198,019","$48,197,805",100%,1,1,"$104,589,701","$104,589,237"
1992,33,Malcolm X,"$48,169,910","$48,169,910",100%,1,1,"$104,528,705","$104,528,705"
1992,34,Single White Female,"$48,017,402","$48,017,402",100%,0,1,"$104,197,762","$104,197,762"
1992,35,The Distinguished Gentleman,"$46,666,502","$46,666,502",100%,0,0,"$101,266,309","$101,266,309"
1992,36,Medicine Man,"$45,500,797","$45,500,797",100%,0,0,"$98,736,729","$98,736,729"
1992,37,Passenger 57,"$44,065,653","$44,065,653",100%,0,1,"$95,622,467","$95,622,467"
1992,38,A River Runs Through It,"$43,440,294","$43,440,294",100%,1,1,"$94,265,438","$94,265,438"
1992,39,Encino Man,"$40,693,477","$40,693,477",100%,0,0,"$88,304,845","$88,304,845"
1992,40,Mo' Money,"$40,227,006","$40,227,006",100%,x,x,"$87,292,603","$87,292,603"
1992,41,Universal Soldier,"$36,299,898","$36,299,898",100%,0,0,"$78,770,779","$78,770,779"
1992,42,Honeymoon in Vegas,"$35,208,854","$35,208,854",100%,x,x,"$76,403,213","$76,403,213"
1992,43,The Lawnmower Man,"$32,100,816","$32,100,816",100%,x,x,"$69,658,771","$69,658,771"
1992,44,Sleepwalkers,"$30,524,763","$30,524,763",100%,x,x,"$66,238,736","$66,238,736"
1992,45,The Muppet Christmas Carol,"$29,192,434","$27,281,507",93.50%,0,1,"$63,347,582","$59,200,870"
1992,46,3 Ninjas,"$29,000,301","$29,000,301",100%,x,x,"$62,930,653","$62,930,653"
1992,47,Final Analysis,"$28,590,665","$28,590,665",100%,0,0,"$62,041,743","$62,041,743"
1992,48,Stop! Or My Mom Will Shoot,"$28,411,210","$28,411,210",100%,x,x,"$61,652,326","$61,652,326"
1992,49,Howards End,"$25,966,555","$25,966,555",100%,x,x,"$56,347,424","$56,347,424"
1992,50,Candyman,"$25,792,310","$25,792,310",100%,0,1,"$55,969,313","$55,969,313"
1993,1,Jurassic Park,"$978,167,947","$357,067,947",37%,1,1,"$2,054,152,689","$749,842,689"
1993,2,Mrs. Doubtfire,"$219,195,243","$219,195,243",100%,1,0,"$460,310,010","$460,310,010"
1993,3,The Fugitive,"$183,875,760","$183,875,760",100%,1,1,"$386,139,096","$386,139,096"
1993,4,The Firm,"$158,348,367","$158,348,367",100%,1,1,"$332,531,571","$332,531,571"
1993,5,Sleepless in Seattle,"$126,680,884","$126,680,884",100%,0,1,"$266,029,856","$266,029,856"
1993,6,Indecent Proposal,"$106,614,059","$106,614,059",100%,0,1,"$223,889,524","$223,889,524"
1993,7,In the Line of Fire,"$102,314,823","$102,314,823",100%,1,1,"$214,861,128","$214,861,128"
1993,8,The Pelican Brief,"$100,768,056","$100,768,056",100%,0,1,"$211,612,918","$211,612,918"
1993,9,Schindler's List,"$96,065,768","$96,065,768",100%,1,1,"$201,738,113","$201,738,113"
1993,10,Cliffhanger,"$84,049,211","$84,049,211",100%,0,1,"$176,503,343","$176,503,343"
1993,11,Free Willy,"$77,698,625","$77,698,625",100%,0,1,"$163,167,113","$163,167,113"
1993,12,Philadelphia,"$77,446,440","$77,446,440",100%,1,1,"$162,637,524","$162,637,524"
1993,13,Groundhog Day,"$70,906,973","$70,906,973",100%,1,1,"$148,904,643","$148,904,643"
1993,14,Grumpy Old Men,"$70,172,621","$70,172,621",100%,0,0,"$147,362,504","$147,362,504"
1993,15,Cool Runnings,"$68,856,263","$68,856,263",100%,0,0,"$144,598,152","$144,598,152"
1993,16,Dave,"$63,270,710","$63,270,710",100%,x,x,"$132,868,491","$132,868,491"
1993,17,Rising Sun,"$63,179,523","$63,179,523",100%,x,x,"$132,676,998","$132,676,998"
1993,18,Demolition Man,"$58,055,768","$58,055,768",100%,0,1,"$121,917,113","$121,917,113"
1993,19,Sister Act 2: Back in the Habit,"$57,319,029","$57,319,029",100%,0,0,"$120,369,961","$120,369,961"
1993,20,Tombstone,"$56,505,065","$56,505,065",100%,x,x,"$118,660,637","$118,660,637"
1993,21,The Three Musketeers,"$53,898,845","$53,898,845",100%,1,0,"$113,187,575","$113,187,575"
1993,22,Rookie of the Year,"$53,615,089","$53,615,089",100%,1,1,"$112,591,687","$112,591,687"
1993,23,Beethoven's 2nd,"$53,443,066","$53,443,066",100%,0,0,"$112,230,439","$112,230,439"
1993,24,Dennis the Menace,"$51,270,765","$51,270,765",100%,0,0,"$107,668,607","$107,668,607"
1993,25,Sommersby,"$50,081,992","$50,081,992",100%,0,0,"$105,172,183","$105,172,183"
1993,26,Last Action Hero,"$50,016,394","$50,016,394",100%,0,0,"$105,034,427","$105,034,427"
1993,27,The Nightmare Before Christmas,"$50,003,043","$50,003,043",100%,1,1,"$105,006,390","$105,006,390"
1993,28,Addams Family Values,"$48,919,043","$48,919,043",100%,0,1,"$102,729,990","$102,729,990"
1993,29,Malice,"$46,405,336","$46,405,336",100%,0,0,"$97,451,206","$97,451,206"
1993,30,Made in America,"$44,942,695","$44,942,695",100%,0,1,"$94,379,660","$94,379,660"
1993,31,The Good Son,"$44,789,789","$44,789,789",100%,0,0,"$94,058,557","$94,058,557"
1993,32,The Beverly Hillbillies,"$44,029,386","$44,029,386",100%,0,0,"$92,461,711","$92,461,711"
1993,33,Teenage Mutant Ninja Turtles III,"$42,273,609","$42,273,609",100%,x,x,"$88,774,579","$88,774,579"
1993,34,Homeward Bound: The Incredible Journey,"$41,833,324","$41,833,324",100%,1,1,"$87,849,980","$87,849,980"
1993,35,Snow White and the Seven Dwarfs 1993 Re-release,"$41,634,471","$41,634,471",100%,x,x,"$87,432,389","$87,432,389"
1993,36,Falling Down,"$40,903,593","$40,903,593",100%,0,1,"$85,897,545","$85,897,545"
1993,37,The Piano,"$40,157,856","$40,157,856",100%,1,1,"$84,331,498","$84,331,498"
1993,38,Hocus Pocus,"$39,514,713","$39,514,713",100%,0,0,"$82,980,897","$82,980,897"
1993,39,What's Love Got to Do with It,"$39,100,956","$39,100,956",100%,1,1,"$82,112,008","$82,112,008"
1993,40,Hot Shots! Part Deux,"$38,922,972","$38,922,972",100%,1,1,"$81,738,241","$81,738,241"
1993,41,Carlito's Way,"$36,948,322","$36,948,322",100%,0,1,"$77,591,476","$77,591,476"
1993,42,Alive,"$36,733,909","$36,733,909",100%,1,0,"$77,141,209","$77,141,209"
1993,43,Son in Law,"$36,448,400","$36,448,400",100%,0,0,"$76,541,640","$76,541,640"
1993,44,Sliver,"$36,300,000","$36,300,000",100.00%,x,x,"$76,230,000","$76,230,000"
1993,45,Robin Hood: Men in Tights,"$35,739,755","$35,739,755",100%,x,x,"$75,053,486","$75,053,486"
1993,46,Dragon: The Bruce Lee Story,"$35,113,743","$35,113,743",100%,x,x,"$73,738,860","$73,738,860"
1993,47,The Joy Luck Club,"$32,901,136","$32,901,136",100%,1,1,"$69,092,386","$69,092,386"
1993,48,Hard Target,"$32,589,677","$32,589,677",100%,0,0,"$68,438,322","$68,438,322"
